"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Payable","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Payable","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Payable","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Payable","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Payable","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Payable","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Payable","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Payable","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Receivable","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Receivable","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Receivable","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Receivable","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Receivable","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Receivable","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Receivable","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Accounts Receivable","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Cash & Equivalent","1-Jan-03","20515"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Cash & Equivalent","1-Jan-05","35021"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Cash & Equivalent","1-Jan-06","37179"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Cash & Equivalent","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Cash & Equivalent","31-Dec-02","20515"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Cash & Equivalent","31-Dec-03","36679"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Cash & Equivalent","31-Dec-05","37179"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Cash & Equivalent","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Deferred Revenue","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Deferred Revenue","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Deferred Revenue","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Deferred Revenue","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Deferred Revenue","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Deferred Revenue","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Deferred Revenue","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Deferred Revenue","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fixed Assets","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fixed Assets","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fixed Assets","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fixed Assets","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fixed Assets","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fixed Assets","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fixed Assets","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fixed Assets","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fund Balance","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fund Balance","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fund Balance","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fund Balance","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fund Balance","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fund Balance","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fund Balance","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fund Balance","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Grants Payable","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Grants Payable","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Grants Payable","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Grants Payable","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Grants Payable","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Grants Payable","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Grants Payable","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Grants Payable","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Inventories for Sale or Use","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Inventories for Sale or Use","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Inventories for Sale or Use","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Inventories for Sale or Use","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Inventories for Sale or Use","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Inventories for Sale or Use","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Inventories for Sale or Use","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Inventories for Sale or Use","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment / Securities","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment / Securities","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment / Securities","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment / Securities","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment / Securities","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment / Securities","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment / Securities","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment / Securities","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment/Other","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment/Other","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment/Other","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment/Other","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment/Other","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment/Other","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment/Other","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investment/Other","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Loans and Notes","1-Jan-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Loans and Notes","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Loans and Notes","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Loans and Notes","20-Mar-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Loans and Notes","31-Dec-02","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Loans and Notes","31-Dec-03","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Loans and Notes","31-Dec-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Loans and Notes","31-Dec-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other","1-Jan-03","8614"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other","1-Jan-05","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other","1-Jan-06","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other","20-Mar-02","0"
