03-0396928,MINISTRY SUPPORT ORGANIZATION,2002,CATHERINE HAMPSCH,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2002,CHAD HAMPSCH,VICE PRESIDENT,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2002,CHRISTOPHER E HLAVACEK,PRES, SEC, TREAS,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2002,JARED SCHULER,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2002,MARISSA OLSON,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2002,Name,Title,Compensation
03-0396928,MINISTRY SUPPORT ORGANIZATION,2002,SARAH HLAVACEK,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2003,CATHERINE HAMPSCH,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2003,CHAD S. HAMPSCH,VICE PRESIDENT,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2003,CHRISTOPHER E. HLAVACEK,PRES, SEC, TREAS,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2003,MARISSA OLSON,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2003,Name,Title,Compensation
03-0396928,MINISTRY SUPPORT ORGANIZATION,2003,SARAH A HLAVACEK,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2005,CHAD S. HAMPSCH,VICE PRES,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2005,CHRISTOPHER E HLAVACEK, CPA,PRES. SEC. TREAS,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2005,CHRISTOPHER H BODDY,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2005,ELIZABETH L ROTTERS,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2005,LAYNE K WILKS,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2005,MARISSA A OLSON,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2005,Name,Title,Compensation
03-0396928,MINISTRY SUPPORT ORGANIZATION,2006,CHAD S. HAMPSCH,VICE PRES,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2006,CHRISTOPHER E. HLAVACEK, CPA,PRE, SEC, TREAS,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2006,CHRISTOPHER H BODDY,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2006,ELIZABETH L ROTTERS,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2006,LAYNE K WILKS,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2006,MARISSA A OLSON,DIRECTOR,$0
03-0396928,MINISTRY SUPPORT ORGANIZATION,2006,Name,Title,Compensation
14-1793829,ASSOCIATION OF HEBREW CATHOLICS,1997,DAVID MOSS,,$0
14-1793829,ASSOCIATION OF HEBREW CATHOLICS,1997,EILEEN CARNEY,,$0
14-1793829,ASSOCIATION OF HEBREW CATHOLICS,1997,Name,Title,Compensation
14-1793829,ASSOCIATION OF HEBREW CATHOLICS,1997,SHELLEY LATTERA,,$0
14-1793829,ASSOCIATION OF HEBREW CATHOLICS,2003,DAVID MOSS,President, Director,$0
14-1793829,ASSOCIATION OF HEBREW CATHOLICS,2003,Fr. Robert Silverman,Chaplain, Director,$0
14-1793829,ASSOCIATION OF HEBREW CATHOLICS,2003,Kathleen Moss,Secretary,$0
14-1793829,ASSOCIATION OF HEBREW CATHOLICS,2003,Name,Title,Compensation
