"03-0396928","MINISTRY SUPPORT ORGANIZATION","Administration","2002","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Administration","2003","13"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Administration","2005","39"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Administration","2006","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Contributions","2002","81511"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Contributions","2003","138713"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Contributions","2006","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Fundraising/Other","2006","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Government Grants","2006","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Investments","2006","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Net Gain/Loss","2002","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Net Gain/Loss","2003","7550"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Net Gain/Loss","2006","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Other","2006","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Program Services","2006","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Program Services Expenses","2002","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Program Services Expenses","2003","131151"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Program Services Expenses","2005","224328"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Program Services Expenses","2006","125646"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Sales","2006","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Special Events","2006","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Expenses","2002","0"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Expenses","2003","131164"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Expenses","2005","224366"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Expenses","2006","125646"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Revenue","2002","81511"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Revenue","2003","138713"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Revenue","2005","212807"
"03-0396928","MINISTRY SUPPORT ORGANIZATION","Total Revenue","2006","88467"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Administration","2006","1272"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Administration","2007","2471"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Administration","2011","8974"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Contributions","1997","32794"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Contributions","2003","25697"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Contributions","2007","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Contributions","2011","28603"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Fundraising/Other","2011","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Government Grants","2011","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Investments","2011","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Net Gain/Loss","1997","9770"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Net Gain/Loss","2003","8691"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Net Gain/Loss","2007","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Net Gain/Loss","2011","12250"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other","2007","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Other","2011","313"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Program Services","2011","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Program Services Expenses","2006","35032"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Program Services Expenses","2007","66364"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Program Services Expenses","2011","36882"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Sales","1997","0"
"14-1793829","ASSOCIATION OF HEBREW CATHOLICS","Sales","2003","1388"
